bgg_rank,name,hf
1,Brass: Birmingham,1.4288
2,Pandemic Legacy: Season 1,3.0128
3,Ark Nova,2.6555
4,Gloomhaven,3.5021
5,Twilight Imperium: Fourth Edition,1.2193
6,Dune: Imperium,1.6135
7,Terraforming Mars,2.1187
8,War of the Ring: Second Edition,1.5114
9,Star Wars: Rebellion,1.318
10,Spirit Island,2.7648
11,Gloomhaven: Jaws of the Lion,2.7669
12,Gaia Project,1.8618
13,Twilight Struggle,1.8822
14,Through the Ages: A New Story of Civilization,2.759
15,The Castles of Burgundy,1.8242
16,Great Western Trail,1.4642
17,Dune: Imperium – Uprising,1.6635
18,Scythe,1.7354
19,Eclipse: Second Dawn for the Galaxy,1.3114
20,7 Wonders Duel,2.233
21,Brass: Lancashire,1.5441
22,Nemesis,1.4759
23,Clank! Legacy: Acquisitions Incorporated,2.0956
24,A Feast for Odin,1.6649
25,Concordia,1.3333
26,Frosthaven,3.1171
27,Great Western Trail: Second Edition,1.725
28,Arkham Horror: The Card Game,3.1675
29,Lost Ruins of Arnak,1.8517
30,Root,1.9904
31,Terra Mystica,1.7639
32,Wingspan,2.2758
33,Too Many Bones,2.2083
34,Orléans,1.3949
35,Mage Knight Board Game,1.8587
36,Barrage,1.49
37,The Crew: Mission Deep Sea,5.1293
38,Everdell,1.6861
39,Viticulture Essential Edition,1.6297
40,Sky Team,3.4961
41,Heat: Pedal to the Metal,1.9873
42,Marvel Champions: The Card Game,5.946
43,Food Chain Magnate,1.4598
44,Pax Pamir: Second Edition,1.8078
45,Underwater Cities,1.4672
46,Crokinole,3.88
47,Kanban EV,1.3952
48,Puerto Rico,1.8052
49,Cascadia,1.9759
50,Caverna: The Cave Farmers,1.4581
51,Pandemic Legacy: Season 0,2.533
52,Anachrony,1.3866
53,On Mars,1.3985
54,Blood Rage,1.3889
55,Hegemony: Lead Your Class to Victory,1.2795
56,Agricola,1.9462
57,Cthulhu: Death May Die,1.8072
58,Oathsworn: Into the Deepwood,2.4358
59,Sleeping Gods,2.2252
60,Lisboa,1.3409
61,Pandemic Legacy: Season 2,3.0377
62,Obsession,1.8328
63,Mansions of Madness: Second Edition,1.4805
64,Grand Austria Hotel,1.5391
65,Tzolk'in: The Mayan Calendar,1.4671
66,Power Grid,1.3887
67,Maracaibo,1.7113
68,The Quacks of Quedlinburg,1.6256
69,Clans of Caledonia,1.5324
70,Le Havre,1.4965
71,Age of Innovation,1.6282
72,The Gallerist,1.3457
73,Paladins of the West Kingdom,1.4582
74,Star Wars: Imperial Assault,2.2846
75,Android: Netrunner,6.4095
76,Mechs vs. Minions,2.1888
77,The Crew: The Quest for Planet Nine,5.4126
78,Kingdom Death: Monster,3.3535
79,Agricola (Revised Edition),1.9248
80,Azul,2.3285
81,Race for the Galaxy,4.6901
82,Clank!: Catacombs,1.4409
83,Five Tribes: The Djinns of Naqala,1.3936
84,Clank!: A Deck-Building Adventure,1.5741
85,Eclipse: New Dawn for the Galaxy,1.3836
86,Fields of Arle,1.5477
87,Aeon's End,2.5374
88,The Lord of the Rings: Duel for Middle-earth,1.5833
89,Lords of Waterdeep,1.5515
90,Teotihuacan: City of Gods,1.5025
91,El Grande,1.2864
92,Beyond the Sun,1.5257
93,Through the Ages: A Story of Civilization,2.1632
94,Revive,1.5497
95,Dominant Species,1.2
96,Concordia Venus,1.3508
97,Robinson Crusoe: Adventures on the Cursed Island,1.8885
98,7 Wonders,2.1741
99,The Voyages of Marco Polo,1.5285
100,SCOUT,1.8783
101,Darwin's Journey,1.4744
102,The Search for Planet X,1.8538
103,Wingspan Asia,1.787
104,The White Castle,1.6493
105,Decrypto,1.849
106,Trickerion: Legends of Illusion,1.2929
107,Inis,1.399
108,Tainted Grail: The Fall of Avalon,2.8467
109,Battlestar Galactica: The Board Game,1.4588
110,Slay the Spire: The Board Game,2.9492
111,Final Girl,2.7427
112,Splendor Duel,1.8639
113,Architects of the West Kingdom,1.5048
114,Carnegie,1.5139
115,Keyflower,1.3216
116,Great Western Trail: New Zealand,1.4129
117,Tigris & Euphrates,1.616
118,Raiders of the North Sea,1.4028
119,Dwellings of Eldervale,1.3498
120,Dominion: Intrigue,2.5602
121,Ticket to Ride Legacy: Legends of the West,2.6211
122,The Quest for El Dorado,1.5884
123,Caylus,1.4174
124,Lorenzo il Magnifico,1.3242
125,Troyes,1.4532
126,Eldritch Horror,1.641
127,Harmonies,2.7474
128,Blood on the Clocktower,3.9647
129,Mombasa,1.2423
130,The Lord of the Rings: Journeys in Middle-Earth,3.0081
131,Ra,1.4828
132,Voidfall,1.8059
133,Twilight Imperium: Third Edition,1.3129
134,Patchwork,2.0814
135,Nemesis: Lockdown,1.4003
136,Trajan,1.3606
137,Russian Railroads,1.5405
138,Dominion,3.869
139,Age of Steam,1.4029
140,The 7th Continent,2.1647
141,Rising Sun,1.2065
142,Aeon's End: War Eternal,2.4479
143,Hansa Teutonica,1.3172
144,Vinhos: Deluxe Edition,1.3125
145,Arcs,1.5109
146,Wonderland's War,1.2712
147,Clank! In! Space!: A Deck-Building Adventure,1.3921
148,Forbidden Stars,1.3226
149,Iberia,1.5382
150,Yokohama,1.3097
151,Codenames,3.0772
152,Just One,1.8592
153,Champions of Midgard,1.2725
154,Roll for the Galaxy,1.9409
155,PARKS,1.432
156,Pandemic,2.1978
157,Rajas of the Ganges,1.3973
158,Targi,1.475
159,Wyrmspan,1.4937
160,The Isle of Cats,1.6162
161,Hadrian's Wall,2.2595
162,Cartographers,2.2709
163,Res Arcana,1.9955
164,Star Realms,5.1086
165,Tyrants of the Underdark,1.41
166,Watergate,1.621
167,Alchemists,1.3685
168,It's a Wonderful World,2.6693
169,Magic: The Gathering,16.2774
170,Ticket to Ride: Europe,1.8562
171,Undaunted: Normandy,2.1363
172,Too Many Bones: Undertow,1.9444
173,ISS Vanguard,2.7823
174,Praga Caput Regni,1.5985
175,The Lord of the Rings: The Card Game,5.0725
176,Stone Age,1.7057
177,Kemet,1.2511
178,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1.44
179,Endeavor: Age of Sail,1.2587
180,Terraforming Mars: Ares Expedition,1.5724
181,Nucleum,1.3838
182,Viscounts of the West Kingdom,1.5112
183,War Chest,2.7044
184,Legendary Encounters: An Alien Deck Building Game,2.1161
185,Dominion (Second Edition),3.4889
186,Istanbul,1.4704
187,Glen More II: Chronicles,1.369
188,Star Wars: X-Wing Miniatures Game,2.5778
189,Unmatched: Cobble & Fog,1.8255
190,Marco Polo II: In the Service of the Khan,1.3793
191,That's Pretty Clever!,2.9644
192,Radlands,2.0623
193,Xia: Legends of a Drift System,1.37
194,Jaipur,2.0556
195,Welcome To...,2.2151
196,Planet Unknown,1.7532
197,Earth,1.6507
198,Dune,1.2675
199,War of the Ring,1.3784
200,Chaos in the Old World,1.2909
201,Welcome to the Moon,2.6563
202,This War of Mine: The Board Game,1.665
203,Star Wars: Outer Rim,1.3651
204,Memoir '44,2.8178
205,Descent: Journeys in the Dark (Second Edition),2.227
206,The Red Cathedral,1.4074
207,Meadow,1.4468
208,Cosmic Encounter,1.5982
209,Sekigahara: The Unification of Japan,1.3669
210,Sagrada,1.8876
211,Great Western Trail: Argentina,1.3626
212,Castles of Mad King Ludwig,1.5371
213,Horrified,1.5714
214,Space Base,2.1043
215,The Resistance: Avalon,3.1083
216,Railways of the World,1.344
217,Azul: Summer Pavilion,1.5256
218,Modern Art,1.3212
219,Paleo,2.2944
220,Ticket to Ride: Nordic Countries,1.6991
221,7 Wonders (Second Edition),2.6859
222,A Game of Thrones: The Board Game (Second Edition),1.3621
223,Ora et Labora,1.2603
224,Go,4.64
225,Arkham Horror: The Card Game (Revised Edition),3.0852
226,Commands & Colors: Ancients,2.4215
227,Captain Sonar,1.8403
228,Suburbia,1.4871
229,Star Wars: The Deckbuilding Game,1.9314
230,Carcassonne,2.4842
231,Village,1.2635
232,Splendor,2.3202
233,Dead of Winter: A Crossroads Game,1.4262
234,Ankh: Gods of Egypt,1.2971
235,Clash of Cultures: Monumental Edition,1.3046
236,Aeon's End: Legacy,2.967
237,Tichu,2.6581
238,Nidavellir,1.6332
239,Return to Dark Tower,1.4378
240,Star Realms: Colony Wars,3.1923
241,The Taverns of Tiefenthal,1.5362
242,Paths of Glory,1.4615
243,Forest Shuffle,2.6829
244,Under Falling Skies,2.4609
245,Coimbra,1.2332
246,Ticket to Ride,2.1908
247,YINSH,2.0519
248,Nations,1.3865
249,Near and Far,1.7014
250,Calico,1.7626
251,My City,4.6719
252,Combat Commander: Europe,1.973
253,Cyclades,1.3181
254,Secret Hitler,2.7579
255,John Company: Second Edition,1.2922
256,KLASK,4.8727
257,Dinosaur Island,1.2899
258,La Granja,1.3863
259,Codenames: Duet,3.1955
260,Camel Up (Second Edition),1.8004
261,Fantasy Realms,3.0898
262,Legendary: A Marvel Deck Building Game,3.0516
263,Century: Golem Edition,1.6512
264,Hanamikoji,2.2171
265,Deception: Murder in Hong Kong,2.7212
266,"Unmatched: Battle of Legends, Volume One",2.5278
267,Sushi Go Party!,1.8967
268,MicroMacro: Crime City,3.0431
269,Zombicide: Black Plague,1.9313
270,Flamme Rouge,1.7985
271,The Princes of Florence,1.2603
272,Roll Player,1.5533
273,Isle of Skye: From Chieftain to King,1.4486
274,Samurai,1.632
275,Glory to Rome,1.7028
276,Hallertau,1.599
277,Vindication,1.3464
278,Western Legends,1.2384
279,Santorini,3.3743
280,Kanban: Driver's Edition,1.3028
281,Hero Realms,2.9316
282,Pulsar 2849,1.2348
283,Goa: A New Expedition,1.2073
284,Tapestry,1.7531
285,1830: Railways & Robber Barons,1.3443
286,Shogun,1.1818
287,Galaxy Trucker,1.5442
288,Anno 1800: The Board Game,1.3739
289,Endless Winter: Paleoamericans,1.3107
290,Detective: A Modern Crime Board Game,1.6985
291,Viticulture,1.4006
292,1960: The Making of the President,1.2703
293,Chronicles of Crime,1.6442
294,Lewis & Clark: The Expedition,1.3767
295,Monikers,1.5309
296,Bitoku,1.2776
297,Mind MGMT: The Psychic Espionage “Game.”,1.9636
298,Kingdomino,2.2707
299,Bora Bora,1.2596
300,Steam,1.2705
301,Oath,1.4065
302,Kemet: Blood and Sand,1.184
303,Battle Line,2.6076
304,So Clover!,2.3859
305,Marvel United,2.5059
306,Tiletum,1.3822
307,Star Realms: Frontiers,3.1056
308,Skull King,1.959
309,Hive,3.3131
310,T.I.M.E Stories,1.9908
311,Rococo,1.1818
312,Forgotten Waters,1.4031
313,Aeon's End: The New Age,3.1038
314,Cryptid,2.1794
315,Cthulhu Wars,1.4584
316,Ethnos,1.3333
317,Dice Throne: Season Two – Battle Chest,2.1841
318,Seasons,1.853
319,Dixit: Odyssey,1.6147
320,Distilled,1.4548
321,Arcadia Quest,2.1579
322,Turing Machine,3.886
323,Long Shot: The Dice Game,1.5588
324,Sea Salt & Paper,3.3119
325,The Manhattan Project: Energy Empire,1.2857
326,Indonesia,1.1843
327,Foundations of Rome,1.2648
328,Imperial,1.2466
329,Telestrations,1.9886
330,Navegador,1.2152
331,Onitama,2.4781
332,Arkham Horror (Third Edition),1.533
333,Apiary,1.3551
334,Lost Cities,3.0414
335,Love Letter,2.1814
336,Dungeon Petz,1.2873
337,Imperium: Classics,2.1097
338,For Sale,1.9568
339,Space Alert,2.8857
340,Power Grid Deluxe: Europe/North America,1.1944
341,Age of Empires III: The Age of Discovery,1.2302
342,Cloudspire,2.581
343,Cat in the Box: Deluxe Edition,1.5317
344,The Great Zimbabwe,1.5244
345,Acquire,1.3277
346,The King's Dilemma,2.7375
347,The King Is Dead: Second Edition,1.5479
348,Imperial Settlers,1.8
349,Nemo's War (Second Edition),1.6343
350,Survive: Escape from Atlantis!,1.4338
351,The Witcher: Old World,1.3978
352,Love Letter,2.2018
353,Glass Road,1.5374
354,Fury of Dracula (Third/Fourth Edition),1.2222
355,Tikal,1.3451
356,Summoner Wars (Second Edition),2.8933
357,Bunny Kingdom,1.47
358,Century: Spice Road,1.6407
359,Faraway,3.1054
360,Imperial 2030,1.1538
361,Bruges,1.4204
362,Summoner Wars: Master Set,2.3049
363,Heaven & Ale,1.3396
364,Awkward Guests: The Walton Case,1.5382
365,Tiny Epic Galaxies,1.6698
366,Destinies,1.627
367,Chinatown,1.2174
368,Nusfjord,1.7994
369,Thunder Road: Vendetta,1.4603
370,Wayfarers of the South Tigris,1.4978
371,Alien Frontiers,1.2608
372,Runewars,1.2797
373,Project L,1.7972
374,Exit: The Game – The Abandoned Cabin,1.0227
375,Small World,1.6439
376,Flamecraft,1.284
377,Burgle Bros.,1.7332
378,Innovation,2.3402
379,Merchants & Marauders,1.3435
380,Raiders of Scythia,1.4367
381,Bonfire,1.3887
382,Above and Below,1.2993
383,Dorfromantik: The Board Game,3.4493
384,Dead of Winter: The Long Night,1.3373
385,Arboretum,1.6491
386,Neuroshima Hex! 3.0,3.2912
387,Antiquity,1.2736
388,Bärenpark,1.6191
389,Mission: Red Planet (Second/Third Edition),1.2115
390,Sid Meier's Civilization: The Board Game,1.3268
391,Furnace,1.3228
392,Sidereal Confluence,1.1397
393,Mindbug: First Contact,3.2165
394,Letters from Whitechapel,1.4144
395,SETI: Search for Extraterrestrial Intelligence,1.6541
396,Gizmos,1.7493
397,Dungeon Lords,1.2835
398,Dixit,1.6045
399,Tekhenu: Obelisk of the Sun,1.4
400,Marvel United: X-Men,2.335
401,Harry Potter: Hogwarts Battle,2.541
402,BattleLore: Second Edition,1.7394
403,Pax Renaissance: 2nd Edition,2.1411
404,Ginkgopolis,1.588
405,Takenoko,1.6653
406,Mysterium,1.5803
407,Ghost Stories,1.9534
408,Maria,1.2083
409,San Juan,1.9882
410,The Resistance,2.9006
411,"Air, Land, & Sea",1.7069
412,Abyss,1.4608
413,Agricola: All Creatures Big and Small,1.6578
414,Frostpunk: The Board Game,1.7642
415,Dead Reckoning,1.4044
416,Blood Bowl: Team Manager – The Card Game,1.4621
417,Carpe Diem,1.4443
418,Schotten Totten,2.5824
419,Star Wars: Armada,1.9944
420,Lords of Hellas,1.2999
421,51st State: Master Set,1.6372
422,The Guild of Merchant Explorers,1.736
423,The Lord of the Rings: The Card Game – Revised Core Set,4.6028
424,Hannibal: Rome vs. Carthage,1.3871
425,Unmatched: Robin Hood vs. Bigfoot,1.5689
426,Expeditions,1.3868
427,Altiplano,1.2532
428,Newton,1.47
429,Fall of Rome,1.5426
430,Smartphone Inc.,1.2061
431,The Pillars of the Earth,1.2569
432,Notre Dame,1.3094
433,Twice as Clever!,2.5053
434,The Godfather: Corleone's Empire,1.1965
435,At the Gates of Loyang,1.6213
436,Mage Wars Arena,1.8333
437,Marrakesh,1.3231
438,Gùgōng,1.2472
439,Saint Petersburg,1.816
440,Cartographers Heroes,1.8809
441,Arkham Horror,1.6979
442,Blitzkrieg!: World War Two in 20 Minutes,1.9455
443,King of Tokyo,2.1233
444,Keep the Heroes Out!,2.3653
445,Honey Buzz,1.3032
446,Chess,5.7207
447,Downforce,1.7755
448,Akropolis,2.1592
449,Skull,2.0933
450,Dice Forge,1.8212
451,Die Macher,1.0597
452,Endeavor,1.1746
453,In the Year of the Dragon,1.375
454,Ticket to Ride: Märklin,1.3235
455,Descent: Legends of the Dark,2.1491
456,London (Second Edition),1.3254
457,Cubitos,1.5562
458,Tiny Towns,1.6897
459,Boonlake,1.3581
460,IKI,1.2228
461,Bruxelles 1893,1.2544
462,Azul: Stained Glass of Sintra,1.5684
463,San Juan (Second Edition),1.6452
464,King of Tokyo: Dark Edition,1.9703
465,Codenames: Pictures,2.8033
466,Evolution: Climate,1.3765
467,Pan Am,1.2172
468,Civilization,1.1429
469,Spartacus: A Game of Blood and Treachery,1.2439
470,Firefly: The Game,1.3654
471,Here I Stand,1.1714
472,Andromeda's Edge,1.4706
473,Ready Set Bet,1.4358
474,Biblios,1.8698
475,Mythic Battles: Pantheon,1.9795
476,Wavelength,1.6325
477,Imperial Struggle,1.3324
478,The Great Wall,1.2719
479,Sword & Sorcery,2.3023
480,Santa Maria,1.3256
481,Space Hulk (Third Edition),1.8667
482,Imperium: Legends,1.9
483,Sprawlopolis,3.0496
484,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,1.5415
485,Millennium Blades,1.2885
486,Fresco,1.2101
487,Clash of Cultures,1.2326
488,Nippon,1.3301
489,Commands & Colors: Napoleonics,2.1667
490,Flash Point: Fire Rescue,1.7831
491,Stockpile,1.3529
492,Macao,1.3036
493,Kingsburg,1.3254
494,Mice and Mystics,1.9872
